# Daily average incoming SW radiation (W.m-2)
365
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365 
10 
1 2 3 4 5 6 7 8 9 10 
71.52	71.52	71.52	71.52	71.52	71.52	71.52	71.52	71.52	71.52
71.14	71.14	71.14	71.14	71.14	71.14	71.14	71.14	71.14	71.14
70.84	70.84	70.84	70.84	70.84	70.84	70.84	70.84	70.84	70.84
70.64	70.64	70.64	70.64	70.64	70.64	70.64	70.64	70.64	70.64
70.53	70.53	70.53	70.53	70.53	70.53	70.53	70.53	70.53	70.53
70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5
70.56	70.56	70.56	70.56	70.56	70.56	70.56	70.56	70.56	70.56
70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7
70.92	70.92	70.92	70.92	70.92	70.92	70.92	70.92	70.92	70.92
71.22	71.22	71.22	71.22	71.22	71.22	71.22	71.22	71.22	71.22
71.6	71.6	71.6	71.6	71.6	71.6	71.6	71.6	71.6	71.6
72.06	72.06	72.06	72.06	72.06	72.06	72.06	72.06	72.06	72.06
72.59	72.59	72.59	72.59	72.59	72.59	72.59	72.59	72.59	72.59
73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2	73.2
73.88	73.88	73.88	73.88	73.88	73.88	73.88	73.88	73.88	73.88
74.64	74.64	74.64	74.64	74.64	74.64	74.64	74.64	74.64	74.64
75.46	75.46	75.46	75.46	75.46	75.46	75.46	75.46	75.46	75.46
76.35	76.35	76.35	76.35	76.35	76.35	76.35	76.35	76.35	76.35
77.31	77.31	77.31	77.31	77.31	77.31	77.31	77.31	77.31	77.31
78.34	78.34	78.34	78.34	78.34	78.34	78.34	78.34	78.34	78.34
79.43	79.43	79.43	79.43	79.43	79.43	79.43	79.43	79.43	79.43
80.58	80.58	80.58	80.58	80.58	80.58	80.58	80.58	80.58	80.58
81.8	81.8	81.8	81.8	81.8	81.8	81.8	81.8	81.8	81.8
83.08	83.08	83.08	83.08	83.08	83.08	83.08	83.08	83.08	83.08
84.41	84.41	84.41	84.41	84.41	84.41	84.41	84.41	84.41	84.41
85.81	85.81	85.81	85.81	85.81	85.81	85.81	85.81	85.81	85.81
87.26	87.26	87.26	87.26	87.26	87.26	87.26	87.26	87.26	87.26
88.76	88.76	88.76	88.76	88.76	88.76	88.76	88.76	88.76	88.76
90.32	90.32	90.32	90.32	90.32	90.32	90.32	90.32	90.32	90.32
91.93	91.93	91.93	91.93	91.93	91.93	91.93	91.93	91.93	91.93
93.6	93.6	93.6	93.6	93.6	93.6	93.6	93.6	93.6	93.6
95.31	95.31	95.31	95.31	95.31	95.31	95.31	95.31	95.31	95.31
97.08	97.08	97.08	97.08	97.08	97.08	97.08	97.08	97.08	97.08
98.89	98.89	98.89	98.89	98.89	98.89	98.89	98.89	98.89	98.89
100.74	100.74	100.74	100.74	100.74	100.74	100.74	100.74	100.74	100.74
102.64	102.64	102.64	102.64	102.64	102.64	102.64	102.64	102.64	102.64
104.59	104.59	104.59	104.59	104.59	104.59	104.59	104.59	104.59	104.59
106.58	106.58	106.58	106.58	106.58	106.58	106.58	106.58	106.58	106.58
108.61	108.61	108.61	108.61	108.61	108.61	108.61	108.61	108.61	108.61
110.68	110.68	110.68	110.68	110.68	110.68	110.68	110.68	110.68	110.68
112.79	112.79	112.79	112.79	112.79	112.79	112.79	112.79	112.79	112.79
114.94	114.94	114.94	114.94	114.94	114.94	114.94	114.94	114.94	114.94
117.12	117.12	117.12	117.12	117.12	117.12	117.12	117.12	117.12	117.12
119.34	119.34	119.34	119.34	119.34	119.34	119.34	119.34	119.34	119.34
121.59	121.59	121.59	121.59	121.59	121.59	121.59	121.59	121.59	121.59
123.88	123.88	123.88	123.88	123.88	123.88	123.88	123.88	123.88	123.88
126.2	126.2	126.2	126.2	126.2	126.2	126.2	126.2	126.2	126.2
128.55	128.55	128.55	128.55	128.55	128.55	128.55	128.55	128.55	128.55
130.93	130.93	130.93	130.93	130.93	130.93	130.93	130.93	130.93	130.93
133.33	133.33	133.33	133.33	133.33	133.33	133.33	133.33	133.33	133.33
135.77	135.77	135.77	135.77	135.77	135.77	135.77	135.77	135.77	135.77
138.23	138.23	138.23	138.23	138.23	138.23	138.23	138.23	138.23	138.23
140.72	140.72	140.72	140.72	140.72	140.72	140.72	140.72	140.72	140.72
143.23	143.23	143.23	143.23	143.23	143.23	143.23	143.23	143.23	143.23
145.77	145.77	145.77	145.77	145.77	145.77	145.77	145.77	145.77	145.77
148.32	148.32	148.32	148.32	148.32	148.32	148.32	148.32	148.32	148.32
150.9	150.9	150.9	150.9	150.9	150.9	150.9	150.9	150.9	150.9
153.5	153.5	153.5	153.5	153.5	153.5	153.5	153.5	153.5	153.5
156.11	156.11	156.11	156.11	156.11	156.11	156.11	156.11	156.11	156.11
158.75	158.75	158.75	158.75	158.75	158.75	158.75	158.75	158.75	158.75
161.4	161.4	161.4	161.4	161.4	161.4	161.4	161.4	161.4	161.4
