# Daily average incoming LW radiation (W.m-2)
365
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365 
10 
1 2 3 4 5 6 7 8 9 10 
303.298	302.04	300.787	299.538	298.294	297.053	295.817	294.586	293.358	292.135
302.643	301.388	300.137	298.89	297.648	296.409	295.176	293.946	292.721	291.5
301.975	300.722	299.473	298.229	296.989	295.753	294.522	293.294	292.071	290.853
301.295	300.044	298.798	297.556	296.318	295.085	293.855	292.631	291.41	290.193
300.603	299.354	298.11	296.871	295.635	294.404	293.177	291.955	290.736	289.522
299.898	298.652	297.411	296.174	294.941	293.712	292.488	291.267	290.051	288.84
299.182	297.939	296.7	295.465	294.235	293.008	291.787	290.569	289.355	288.146
298.455	297.215	295.978	294.746	293.518	292.294	291.074	289.859	288.648	287.441
297.717	296.479	295.245	294.015	292.79	291.569	290.352	289.139	287.931	286.726
296.969	295.733	294.502	293.275	292.052	290.833	289.619	288.408	287.202	286.001
296.21	294.977	293.748	292.523	291.303	290.087	288.875	287.668	286.464	285.265
295.441	294.211	292.984	291.763	290.545	289.332	288.122	286.917	285.717	284.52
294.662	293.435	292.211	290.992	289.777	288.566	287.36	286.158	284.96	283.766
293.875	292.65	291.429	290.212	289	287.792	286.588	285.389	284.193	283.002
293.078	291.855	290.637	289.424	288.214	287.009	285.808	284.611	283.418	282.23
292.272	291.053	289.837	288.626	287.42	286.217	285.019	283.825	282.635	281.449
291.458	290.241	289.029	287.821	286.617	285.417	284.222	283.031	281.843	280.66
290.636	289.422	288.213	287.008	285.806	284.61	283.417	282.228	281.044	279.864
289.806	288.595	287.389	286.186	284.988	283.794	282.604	281.419	280.237	279.06
